year,age_name,cases,age,period,cohort,log_cases
2018,70-74 years,608968.3365477115,72.5,2018,1945.5,13.319523194928037
2019,70-74 years,643264.2353702732,72.5,2019,1946.5,13.374312414854215
2020,70-74 years,659503.7189599953,72.5,2020,1947.5,13.399244406474022
2021,70-74 years,705202.4991559931,72.5,2021,1948.5,13.466241691427735
1990,75-79 years,290393.11271945655,77.5,1990,1912.5,12.578994288722651
1991,75-79 years,297324.8384618271,77.5,1991,1913.5,12.602583915609387
1992,75-79 years,304572.351728323,77.5,1992,1914.5,12.626667229497624
1993,75-79 years,312497.7686423926,77.5,1993,1915.5,12.652355807806487
1994,75-79 years,320228.2919523305,77.5,1994,1916.5,12.676792555536618
1995,75-79 years,330850.9844361916,77.5,1995,1917.5,12.709426377415845
1996,75-79 years,344822.081584219,77.5,1996,1918.5,12.750786757480753
1997,75-79 years,361084.7977744434,77.5,1997,1919.5,12.796870876041917
1998,75-79 years,378238.0034608514,77.5,1998,1920.5,12.8432815590822
1999,75-79 years,395918.3412942359,77.5,1999,1921.5,12.888965785889882
2000,75-79 years,411468.4511113218,77.5,2000,1922.5,12.927490058460922
2001,75-79 years,421567.5853593152,77.5,2001,1923.5,12.951737760528216
2002,75-79 years,426896.9978331468,77.5,2002,1924.5,12.964300382721344
2003,75-79 years,430794.5267664656,77.5,2003,1925.5,12.973388840660009
2004,75-79 years,435021.41610001336,77.5,2004,1926.5,12.983152840007529
2005,75-79 years,443116.3440965829,77.5,2005,1927.5,13.001589899045277
2006,75-79 years,455367.0304224473,77.5,2006,1928.5,13.028861229055002
2007,75-79 years,468345.19748124847,77.5,2007,1929.5,13.056963039636129
2008,75-79 years,481059.3445777861,77.5,2008,1930.5,13.083747997721563
2009,75-79 years,494920.4966146192,77.5,2009,1931.5,13.112154436275937
2010,75-79 years,507798.2681522927,77.5,2010,1932.5,13.137841507039177
2011,75-79 years,520223.8927194312,77.5,2011,1933.5,13.162016483061402
2012,75-79 years,532132.0085138793,77.5,2012,1934.5,13.184648753078521
2013,75-79 years,542582.5859883634,77.5,2013,1935.5,13.20409742808292
2014,75-79 years,551837.4335448878,77.5,2014,1936.5,13.221010589562855
2015,75-79 years,562760.6265125326,77.5,2015,1937.5,13.240611418728875
2016,75-79 years,573289.0423135738,77.5,2016,1938.5,13.25914704967808
2017,75-79 years,583003.8691195485,77.5,2017,1939.5,13.275950817132314
2018,75-79 years,595430.2763303071,77.5,2018,1940.5,13.297041256130933
2019,75-79 years,608951.1694688322,77.5,2019,1941.5,13.319495004147603
2020,75-79 years,618756.2265872778,77.5,2020,1942.5,13.335468272129809
2021,75-79 years,662382.0985842749,77.5,2021,1943.5,13.403599366305373
1990,80-84 years,214039.5397063618,82.5,1990,1907.5,12.273920713943095
1991,80-84 years,221261.2902452403,82.5,1991,1908.5,12.30710411045841
1992,80-84 years,228730.35881944804,82.5,1992,1909.5,12.340303488317474
1993,80-84 years,236724.59148147845,82.5,1993,1910.5,12.374656907450241
1994,80-84 years,244981.7462508869,82.5,1994,1911.5,12.408943063581248
1995,80-84 years,252804.50347345584,82.5,1995,1912.5,12.440375711086926
1996,80-84 years,260395.97642657944,82.5,1996,1913.5,12.469962577984084
1997,80-84 years,269185.51545736287,82.5,1997,1914.5,12.50315978432932
1998,80-84 years,278845.0075123313,82.5,1998,1915.5,12.538414964025874
1999,80-84 years,287936.50283400895,82.5,1999,1916.5,12.570498731520718
2000,80-84 years,299091.7683385976,82.5,2000,1917.5,12.60850906625352
2001,80-84 years,309701.32676629786,82.5,2001,1918.5,12.643366878901421
2002,80-84 years,317648.455705266,82.5,2002,1919.5,12.668703713188618
2003,80-84 years,323998.4880943636,82.5,2003,1920.5,12.68849721481755
2004,80-84 years,330824.5341139843,82.5,2004,1921.5,12.709346428130944
2005,80-84 years,339757.27361346985,82.5,2005,1922.5,12.735989683780076
2006,80-84 years,351408.6299192381,82.5,2006,1923.5,12.769707858796856
2007,80-84 years,365046.0645870468,82.5,2007,1924.5,12.807781568326156
2008,80-84 years,380205.08240223496,82.5,2008,1925.5,12.848468706810223
2009,80-84 years,395288.9148541436,82.5,2009,1926.5,12.887374736321185
2010,80-84 years,409912.3586889248,82.5,2010,1927.5,12.9237010960783
2011,80-84 years,423748.89347215183,82.5,2011,1928.5,12.956898686283614
2012,80-84 years,436834.4650979069,82.5,2012,1929.5,12.987311893106574
2013,80-84 years,449380.0560598102,82.5,2013,1930.5,13.015626483994868
2014,80-84 years,462845.7562623256,82.5,2014,1931.5,13.045151298287427
2015,80-84 years,477222.1478001922,82.5,2015,1932.5,13.075739475573855
2016,80-84 years,493751.74176121806,82.5,2016,1933.5,13.109790148116163
2017,80-84 years,511042.52774417785,82.5,2017,1934.5,13.14421004705356
2018,80-84 years,527626.1798964891,82.5,2018,1935.5,13.176145214602423
2019,80-84 years,543184.7693642528,82.5,2019,1936.5,13.205206657100415
